Property,    Hydrogen,  Carbon,  Nitrogen, Oxygen,  Sodium,  Aluminium, Argon,   Iron,    Copper,   Tin,    Tungsten,   Lead,    Water,  NaI,     Air,    Concrete,  CaP,    Uranium,  Thallium,  Platinum,  Iodine,   Molybdenum
Density,        90,      3500,     1250,    1430,     970,      2700,    1780,   7870,     8940,    7310,    19300,     11340,   1000,   3670,    1.2,      2350,    3140,    18800,     11850,     21450,    4930,       10220
Mass,          1.00,     12.01,   14.00,    16.00,   22.99,    26.98,   39.95,   55.85,    63.55,   118.7,   183.84,    207.2,   18.02, 140.89,   28.97,     -1,    310.18,   239.03,    204.38,    195.08,   126.90,     95.94
